3193043, 3189376
3189307, 12663461
3167276, 3167053
3193593, 12758965
3189772, 3192856
3188249, 12775313
3193762, 3193565
3188213, 12771960
3193790, 3166938
3174341, 12760103
3188578, 3188553
3193339, 12659618
3166903, 3193166
3193660, 12751638
3193826, 3193719
3169584, 12771086
3192856, 3189162
3188424, 12660980
3167645, 3167493
3194224, 12761054
3189773, 3193584
3188983, 12775874
3193929, 3193740
3187809, 12769696
3192982, 3166328
3174824, 12762800
3190061, 3189880
3193138, 12661437
3166798, 3192928
3193547, 12753477
3193250, 3193055
3170107, 12773381
3193432, 3189755
3188268, 12659033
3167350, 3167072
3193383, 12757895
3189688, 3192973
3188622, 12776444
3194208, 3194031
3188087, 12772470
3193271, 3166265
3174617, 12761179
3189612, 3189297
3193562, 12660947
3166414, 3192726
3193458, 12751126
3193889, 3193637
3169965, 12772863
3193027, 3189676
3188087, 12658513
3167129, 3166919
3193269, 12757241
3189706, 3193712
3188700, 12775108
3193420, 3193231
3188395, 12771677
3192907, 3166242
3174126, 12760028
3188882, 3188596
3192779, 12660030
3166872, 3192912
3193831, 12754696
3193223, 3193108
3169600, 12771733
3193496, 3189878
3188378, 12658502
3166702, 3166533
3193645, 12759905
3189635, 3192692
3188209, 12775408
3193851, 3193637
3188662, 12774764
3193211, 3166079
3174014, 12759437
3189125, 3188890
3194101, 12662657
3166278, 3192624
3192914, 12748914
3192744, 3192759
3169508, 12770695
3192732, 3189368
3188179, 12659361
3167272, 3167071
3193116, 12756300
3189816, 3193568
